Source,Target
18601926,1413886358
1504768271190564866,246795139
1504768271190564866,1230425946534170624
1504768271190564866,5695462
1504768271190564866,46247496
1504768271190564866,791217034357051392
1504768271190564866,1966455439
1504768271190564866,135464815
1064629770804178944,4440011897
1064629770804178944,573445160
1064629770804178944,84070887
1064629770804178944,1413886358
1064629770804178944,862771220
1064629770804178944,145990349
1064629770804178944,804206450
1064629770804178944,5695462
1064629770804178944,3052960894
1064629770804178944,583780293
1064629770804178944,3682802482
1064629770804178944,144804999
1064629770804178944,22669691
1064629770804178944,1931306948
1064629770804178944,510071832
1064629770804178944,808975919109074944
1064629770804178944,151806745
1064629770804178944,2843621296
1064629770804178944,2182034635
1064629770804178944,87695639
1560101954,3151634639
1560101954,870994240905543680
1560101954,225919286
1560101954,2254022509
1560101954,1481902092
1560101954,240836165
1560101954,3143096086
1560101954,2325359208
1560101954,783365013297852416
1560101954,4440011897
1560101954,828863719434235904
1560101954,189146164
1560101954,251149713
1560101954,824380117304668162
1560101954,4897204209
1560101954,246795139
1560101954,312914921
1560101954,198921283
1560101954,1418153141439279106
1560101954,2989333690
1560101954,835895680828866561
1560101954,1240591329052299266
1560101954,2857319315
1560101954,3825053357
1560101954,3086474291
1560101954,188669876
1560101954,944287646
1560101954,930906676521250816
1560101954,135464815
1560101954,1232949311702519809
1560101954,462251399
1560101954,1337275872
1560101954,313139818
1560101954,834010392733089792
1560101954,144804999
1560101954,1064155194
1560101954,478510248
1560101954,715585189909540864
1560101954,949476402
1560101954,725214703081934849
1560101954,841723716287508480
1560101954,1966455439
1560101954,291827097
1560101954,856447539066933248
1560101954,510071832
1560101954,261211197
1560101954,1522901911
1560101954,151214860
1560101954,860073337900421120
1560101954,2354591678
1560101954,2912279032
1560101954,1205001530
1560101954,151806745
1560101954,2843621296
1560101954,293963889
1560101954,2182034635
1560101954,3065983912
1560101954,2204697338
1560101954,1013731572007260162
1503364632290938884,200436419
1503364632290938884,144804999
1503364632290938884,1164309249226420225
1503364632290938884,4440011897
1503364632290938884,1294703762
1503364632290938884,1226041826760634368
1503364632290938884,3065983912
252562325,246795139
252562325,731615538619764736
252562325,1177119905545629696
252562325,5695462
252562325,14857238
252562325,3682802482
252562325,33173981
252562325,144804999
252562325,300195350
252562325,569847849
252562325,257201150
252562325,2843621296
252562325,228283189
252562325,62963
252562325,8087392
252562325,135464815
1113506129961787392,180868554
1113506129961787392,144804999
1499049980702642178,3216089049
1499049980702642178,3017664915
1499049980702642178,429303968
1499049980702642178,783234257816805376
1499049980702642178,1057204340442755072
1454658463796187141,296701451
1454658463796187141,860091357100216320
1454658463796187141,1371661483
1454658463796187141,271870111
1454658463796187141,102027912
2962254131,1548184596
2962254131,1301668149687922689
2962254131,980035850837905408
2962254131,817965354
2962254131,135464815
941612526,1238812293045063680
941612526,860091357100216320
941612526,2674921
941612526,271870111
941612526,473833935
941612526,2389057202
1500265561745465346,1064155194
1500265561745465346,478510248
1500265561745465346,2325359208
1500265561745465346,783365013297852416
1500265561745465346,856447539066933248
1226041826760634368,320964836
1226041826760634368,3143096086
1226041826760634368,1163919139553124353
1226041826760634368,783365013297852416
1226041826760634368,1371764115149090819
1226041826760634368,4440011897
1226041826760634368,107696329
1226041826760634368,1337683992
1226041826760634368,783584842277609472
1226041826760634368,3952123887
1226041826760634368,251149713
1226041826760634368,228283189
1226041826760634368,113021258
1226041826760634368,198921283
1226041826760634368,246795139
1226041826760634368,953555663682228224
1226041826760634368,4806660015
1226041826760634368,1413886358
1226041826760634368,2989333690
1226041826760634368,145990349
1226041826760634368,2857319315
1226041826760634368,1148706251435642881
1226041826760634368,804206450
1226041826760634368,3825053357
1226041826760634368,62963
1226041826760634368,5695462
1226041826760634368,944287646
1226041826760634368,1057204340442755072
1226041826760634368,188669876
1226041826760634368,1232949311702519809
1226041826760634368,3052960894
1226041826760634368,583780293
1226041826760634368,90661080
1226041826760634368,960552023790948353
1226041826760634368,1230143293234778112
1226041826760634368,144804999
1226041826760634368,569847849
1226041826760634368,2625278321
1226041826760634368,1530194882
1226041826760634368,949476402
1226041826760634368,886380522
1226041826760634368,510071832
1226041826760634368,391549894
1226041826760634368,2354591678
1226041826760634368,151214860
1226041826760634368,145216568
1226041826760634368,1215613665535315968
1226041826760634368,2912279032
1226041826760634368,330565692
1226041826760634368,783234257816805376
1226041826760634368,925328389283766272
1226041826760634368,100067629
1226041826760634368,2843621296
1226041826760634368,293963889
1226041826760634368,15658321
1226041826760634368,856447539066933248
2166781218,1075148985495629824
2166781218,337715207
2166781218,3008574778
2166781218,465638323
2166781218,2325359208
2166781218,326709103
2166781218,4201898854
2166781218,932531979052044289
2166781218,783584842277609472
2166781218,287820925
2166781218,3084599002
2166781218,953555663682228224
2166781218,1038380650116603904
2166781218,1701529208
2166781218,367792018
2166781218,182307309
2166781218,296752929
2166781218,299819538
2166781218,977575233682116609
2166781218,3086474291
2166781218,1023868982879834113
2166781218,5695462
2166781218,1225267062
2166781218,70210748
2166781218,135464815
2166781218,188669876
2166781218,484565396
2166781218,171020969
2166781218,1230143293234778112
2166781218,144804999
2166781218,4293842962
2166781218,551202761
2166781218,141720522
2166781218,178719887
2166781218,725214703081934849
2166781218,300195350
2166781218,414813901
2166781218,4096623076
2166781218,3144937845
2166781218,1114648147677073411
2166781218,293963889
2166781218,1206059172
2166781218,1584101436
1313082609715548160,3017664915
1313082609715548160,3239033147
1313082609715548160,860091357100216320
1313082609715548160,182307309
1313082609715548160,191379610
1499057712633724929,3052960894
1499057712633724929,1230425946534170624
1499057712633724929,16948836
1499057712633724929,934365701888008193
1499057712633724929,151214860
1499057712633724929,1413886358
1499057712633724929,3682802482
1499057712633724929,144804999
1499057712633724929,1215613665535315968
1499057712633724929,1006493956325216256
1499057712633724929,429303968
1499057712633724929,215696372
1499057712633724929,228283189
